x,y,z
0.23223756,0.89303726,9.629479
0.2753332,0.8379706,9.524135
0.21068975,0.830788,9.634268
0.2657564,0.89064306,9.560047
0.24899697,0.90979666,9.576807
0.2705448,0.82599956,9.615114
0.30406362,0.8619126,9.600749
0.23942018,0.8355764,9.600749
0.2777274,0.7110779,9.540894
0.260968,0.92655605,9.629479
0.18435353,0.8714894,9.64145
0.31364042,0.8619126,9.574412
0.23463176,0.81402856,9.572019
0.20829555,0.8690952,9.528923
0.33997664,0.79487497,9.560047
0.21308395,0.92416185,9.655815
0.33518824,0.878672,9.586384
0.36391866,0.91937345,9.543288
0.39504328,0.9528923,9.610326
0.272939,0.9840169,9.61272
0.32321724,0.90979666,9.629479
0.31603462,0.92895025,9.581595
0.3184288,0.92655605,9.557653
0.3184288,0.90500826,9.52174
0.2633622,0.866701,9.660604
0.32800564,0.8475474,9.627085
0.29209262,0.8403648,9.495404
0.33758244,0.89303726,9.52174
0.14844051,0.7086837,9.574412
0.33518824,0.7589619,9.615114
0.40222588,1.3335704,9.449914
0.5530606,1.2521675,9.351752
0.33039984,1.3742718,9.485827
0.2777274,2.0207062,9.629479
0.37588966,2.183512,9.291897
0.5626374,2.1978772,9.277532
0.46926352,2.6001031,9.339781
0.45010993,2.9999347,9.241618
0.5482722,3.1028855,9.143456
0.6584055,3.1890767,9.062054
0.5315128,3.4045548,9.160215
0.5363012,3.4237084,9.054871
0.58418524,3.2465374,9.155427
0.4405331,3.205836,9.449914
0.33039984,3.2632968,9.363723
0.088585466,2.5354595,9.461885
-0.15083471,2.3774424,9.679757
0.1604115,1.9919758,9.3421755
0.6799533,1.3694834,9.078813
0.29209262,1.7908629,9.251195
0.7565677,2.4492683,9.095572
0.48841715,3.335123,9.215282
0.5434838,2.9352913,9.217676
0.4381389,3.0430303,9.294291
0.40701428,3.1196449,9.251195
0.2896984,2.918532,9.244013
0.38067806,2.7269957,9.325416
0.4333505,2.5139117,9.198523
0.4405331,2.7629087,9.200917
0.50517654,2.6120741,9.006987
0.22266077,2.6384103,9.272743
0.38067806,3.1124623,9.349358
0.20590134,3.3494883,9.0476885
0.24181437,3.4021606,8.868123
